ID,Des,NPC,Title,AntecedentQuest,OutPutText,Choice1,Choice1Event,Choice2,Choice2Event,Choice3ConditionMBTI,Choice3ConditionValue,Choice3,Choice3Event
30_1_0_000,패배 시,J.I.,우주선의 메인 인공지능,0,적에게 당하셨군요…\\n던전에서 얻은 골드와 경험치를 활용해서\\n능력을 강화하고# 아이템을 구입해서 다시 도전해보세요!,<확인>,0,0,0,0,0.0,0,0
30_1_0_001,메인 디스플레이_시작 직후,J.I.,우주선의 메인 인공지능,0,탐험자님# 이제야 눈을 뜨셨군요?\\n오랫동안 정신을 잃고 계셔서 걱정하고 있었어요.\\n스캐너로 확인해보니… 뇌리의 기억흔적이 산산조각난 것으로 보여요.\\n아무 것도 기억이 나지 않으시겠지만 놀라지 말고 들어주세요.\\n탐험자님의 기억을 지워버린 악의 무리\\n드림스토커가 이 행성 지하에 있어요.\\n'지하 5층'으로 된 던전 끝에 최종 보스가 있고\\n그녀석을 처치하면 기억을 되찾을 수 있을 거예요.\\n혹시 탐험자님이 가장 소중히 여기시는...\\n'드릴'에 관해서도 잊어버리셨나요?\\n우주선을 나가 왼쪽을 보시면\\n경험치로 능력을 강화할 수 있어요.\\n꼭 강화하시는 걸 추천드려요.\\n그럼 다시 돌아오시기를 기다릴게요. 조심하세요!,<확인>,31_1_1_001\\n31_1_1_002\\n31_1_1_003\\n0,0,0,0,0.0,0,0
30_1_0_002,메인 디스플레이_1사이클 종료,J.I.,우주선의 메인 인공지능,31_2_2_003,돌아오셨군요!\\n드림스토커 녀석들이 비겁하게도 환영 마법을 사용한 것 같아요.\\n비록 이번에는 지하 3층까지밖에 가지 못했지만\\n다시 도전하면 이번에는 진짜 원흉과 대결할 수 있을 거예요!\\n그리고 모험자님# 기억이 조금 돌아오신 것 같은데요?!\\n지하 5층에 있는 최종 보스를 처치하면 모험자님의 기억이 더욱 뚜렷해질 것 같아요.\\n그럼 이번에도 다시 돌아오시기를 기다릴게요. 조심하시길!,<확인>,0,0,0,0,0.0,0,0
30_1_0_003,메인 디스플레이_2사이클 종료,J.I.,우주선의 메인 인공지능,31_2_2_010,탐험자님# 어서오세요!\\n드림스토커의 수장 드뷔시님을 물리치시다니# 정말 대단해요!\\n하지만… 여전히 강력한 암흑 에너지 반응이 행성 지하에 관측되고 있어요.\\n탐험자님께서 처치한 드뷔시님은…\\n안타깝지만 일종의 환영 같은 것이었나봐요.\\n그래도 드뷔시님에게 타격이 없던 것은 아니예요.\\n불완전하게나마 기억이 조금 돌아오신 것 같으니까요!\\n이전에 떠올렸던 기억과 다르진 않은지 확인해보시는 건 어떨까요?\\n저는 드뷔시님을 다시 물리치고 돌아오시길 기다릴게요. 조심하세요!,<확인>,0,0,0,0,0.0,0,0
30_1_0_004,메인 디스플레이_3사이클 종료,J.I.,우주선의 메인 인공지능,31_2_2_015,어서오세요# 탐험자님!\\n두 번이나 드뷔시님... 아니 드림스토커의 우두머리를 처치하시다니...!\\n역시 탐험자님은 보통 분이 아니시군요.\\n어쩌면... 탐험자님의 드릴이 생각보다 더 놀라운 물건인 것 같아요!\\n하지만# 강한 힘엔 큰 책임이 따른다고도 했으니...\\n드릴과 탐험자님의 기억엔# 어쩌면 생각하는 것보다 더 큰 연관성이 있을지도 모르겠군요.\\n'최악의 물건'으로도 악명높은 그 무기# 항상 조심히 사용해 주시길 바라요!\\n그럼 이번 모험도# 무사히 그리고 안전하게 잘 마치고 오시길!,<확인>,0,0,0,0,0.0,0,0
30_1_0_005,메인 디스플레이_4사이클 종료,J.I.,우주선의 메인 인공지능,31_2_2_020,잘 오셨습니다# 탐험자님!\\n탐험자님의 드릴이 뭔가 한껏 더 빛나고 있네요.\\n정말 흥미롭군요!\\n왜일까요? 행성 주위 광량에 영향을 줄 만한 이벤트는 관측되지 않았을 텐데.\\n탐험자님도 보이시나요?\\n확인이 된다고요?\\n하지만# 그게 정말 현실일까요?\\n탐험자님이 보는 현실이# 실재하는 것일지\\n 의심해 보신 적 있으신가요?\\n그 의미를 간파하지 못하신다면# 탐험자님의 모험은 더욱 험난해질 거예요.\\n항상 주의하시며 나아가시길.\\n어리석은 사람이 되지 않도록 말이죠!\\n그럼# 조심히 다녀오세요!,<확인>,0,0,0,0,0.0,0,0
30_1_0_006,메인 디스플레이_5사이클 종료,J.I.,우주선의 메인 인공지능,31_2_2_025,어서 오세요# 탐험자님.\\n이번 모험도 성공적이셨나요?\\n기억을 찾아가는 과정이라# 저에겐 어려운 개념입니다.\\n저는 여러가지 데이터를 축적해 만들어진 인공지능인 만큼#\\n과거의 내가 어떤 존재였는지에 대한 호기심 자체가 존재하지 않기 때문이에요.\\n하지만 한 가지는 확실히 말씀드릴 수 있어요.\\n모든 존재는 '암흑'에서 비롯되었다는 사실을.\\n그리고 그 암흑의 근원은# 바로 탐험자님과 대적하는 드뷔시님이란 것을...\\n이 사실 또한# 탐험자님의 머릿속에 남겨두시길 바랍니다.\\n그럼 이번 모험도 조심히 다녀오세요!,<확인>,0,0,0,0,0.0,0,0
30_1_0_007,메인 디스플레이_6사이클 종료,J.I.,우주선의 메인 인공지능,31_2_2_030,이번에도 살아남으셨군요! 축하드려요.\\n드림스토커는 온 우주를 지배하기 위해# 지금도 밤낮 가리지 않고 온힘을 다하고 있어요.\\n그리고 드뷔시... 그분의 지휘하에 수하들은 일사분란 움직이고 있지요.\\n그리고 드뷔시님은 실패와 패배를 두려워하지 않으시죠.\\n기억을 흡수할수록 그분의 힘은 더 강력해져요.\\n가장 실력이 뛰어나고 가장 오랫동안 살아남은 탐험자일수록\\n그분을 위한 좋은 양분이 된다고 하더군요?\\n탐험자님도 우주 정복의 밑거름이 되지 않으시려면#\\n 항상 이점을 유의하셔야 될 거예요.\\n이번 모험도 무사히 다녀오시길!,<확인>,0,0,0,0,0.0,0,0
30_1_0_008,메인 디스플레이_7사이클 종료,J.I.,우주선의 메인 인공지능,31_2_2_035,탐험자님# 어서 오세요!\\n이번 모험도 좋은 성과를 거두셨나요?\\n계속 기억을 찾기 위해 고군분투하는 탐험자님의 모습을 보면#\\n작은 개미가 잎사귀를 야금야금 파먹어가는 것 같다는 생각도 들었어요.\\n하하. 마음에 들지 않는 비유였나요?\\n하지만 작은 개미에게 잎사귀는 얼마나 넓게 느껴질까요?\\n마치... 드뷔시님의 드넓고 강대한 힘처럼 말이죠.\\n그분은 매우 강력하면서도 동시에 아주 고독한 존재예요.\\n다른 이는 이해하기 힘든# 꽤나 거대한 목표를 갖고 계시기 때문이죠.\\n나름 수많은 데이터로 학습해 온 저이기에# 이 우주가 얼마나 거대한지 잘 알고 있습니다만.\\n그분의 꿈은# 저조차도 가늠하기 힘든 아주 어마어마한 것이예요.\\n그러니 항상 조심하시면서# 이번 여행은 너무 무모한 도전의 연속은 되지 않기를!,<확인>,0,0,0,0,0.0,0,0
30_1_0_009,메인 디스플레이_8사이클 종료,J.I.,우주선의 메인 인공지능,31_2_2_040,드뷔시님의 인정을 받으셨군요! 정말 대단해요 탐험자님!\\n그 정도의 찬사를 받기는 쉽지 않을 텐데... 저의 연산능력에 오류라도 생긴 줄 알았어요!\\n어떻게 알고 있냐구요?\\n하하. 그런 건 중요한게 아니랍니다?\\n중요한 것은 탐험자님의 영향력.\\n그리고 불가능해 보일 정도의 능력을 인정받았다는 것.\\n이것으로 당신에 대해 더 깊게 분석할 수 있게 되었어요.\\n거듭 탐험자님의 역량을 파악할 수 있는 기회에 감사드리며#\\n이번 모험도 무탈히 끝날 수 있길 응원할게요!,<확인>,0,0,0,0,0.0,0,0
