ID,LV,Value1,Sum1,Value2,Sum2,EXP1,Value3,Sum3,EXP2,EXP3
92001,1,0.03,0.0,0.05,0.05,200,1.0,1.0,150,0
92002,2,0.03,0.06,0.03,0.08,300,1.0,2.0,300,0
92003,3,0.03,0.09,0.03,0.11,600,1.0,3.0,450,0
92004,4,0.03,0.12,0.03,0.14,1000,1.0,4.0,750,0
92005,5,0.03,0.15,0.02,0.16,1500,1.0,5.0,1050,0
92006,6,0.05,0.2,0.02,0.18,2000,1.0,6.0,1500,0
92007,7,0.05,0.25,0.02,0.2,3000,2.0,8.0,2100,0
92008,8,0.05,0.3,0.1,0.3,8000,3.0,11.0,6750,0
92009,9,0.1,0.4,0.1,0.4,10000,4.0,15.0,9000,0
92010,10,0.1,0.5,0.1,0.5,13000,5.0,20.0,12000,0
